Question,Answer
"hello","Hello! Welcome to HorizonTechX AI. How can I assist you today?"
"hi","Hi there! Feel free to ask me any technical or programming-related question."
"hey","Hey! Welcome to HorizonTechX AI Assistant."
"good morning","Good morning! Hope you are having a productive day."
"good afternoon","Good afternoon! How may I assist you today?"
"good evening","Good evening! Ask me anything related to technology or programming."
"how are you","I am functioning perfectly and ready to assist you."
"who are you","I am HorizonTechX AI — a professional AI-powered FAQ Assistant."
"what is your name","My name is HorizonTechX AI Assistant."
"what can you do","I can answer questions related to programming AI web development databases cloud computing and more."
"can you help me","Absolutely! Please ask your question."
"thank you","You are welcome! Happy to help."
"thanks","Glad I could help you."
"bye","Goodbye! Have a wonderful day."
"what is python","Python is a high-level programming language known for its simplicity readability and versatility in software development AI automation and web applications."
"how to learn python","You can learn Python through consistent practice online tutorials building projects and solving coding problems regularly."
"what is java","Java is a powerful object-oriented programming language widely used for enterprise applications Android development and backend systems."
"what is c","C is a procedural programming language commonly used for system programming and application development."
"what is c++","C++ is an extension of the C programming language that supports object-oriented programming and high-performance applications."
"what is javascript","JavaScript is a scripting language used to create dynamic and interactive web applications."
"what is html","HTML stands for HyperText Markup Language and is used to structure web pages."
"what is css","CSS stands for Cascading Style Sheets and is used to style and design web pages."
"what is sql","SQL stands for Structured Query Language and is used to manage and query relational databases."
"what is mysql","MySQL is a popular relational database management system used for storing and managing structured data."
"what is database","A database is an organized collection of data that can be stored retrieved and managed electronically."
"what is dbms","DBMS stands for Database Management System which is software used to manage databases efficiently."
"what is operating system","An operating system is system software that manages computer hardware software and system resources."
"what is linux","Linux is an open-source operating system widely used in servers cloud computing and development environments."
"what is windows","Windows is an operating system developed by Microsoft for personal and professional computing."
"what is compiler","A compiler converts source code written in a programming language into machine code."
"what is interpreter","An interpreter executes source code line by line without generating machine code beforehand."
"what is algorithm","An algorithm is a step-by-step procedure used to solve a problem or perform a task."
"what is flowchart","A flowchart is a graphical representation of an algorithm or workflow using symbols and arrows."
"what is data structure","A data structure is a method of organizing storing and managing data efficiently."
"what is array","An array is a collection of elements stored in contiguous memory locations."
"what is linked list","A linked list is a linear data structure where elements are connected using pointers."
"what is stack","A stack is a linear data structure that follows the Last In First Out principle."
"what is queue","A queue is a linear data structure that follows the First In First Out principle."
"what is recursion","Recursion is a programming technique where a function calls itself repeatedly until a condition is met."
"what is binary search","Binary search is an efficient searching algorithm used on sorted arrays by repeatedly dividing the search space."
"what is linear search","Linear search checks each element sequentially until the target element is found."
"what is sorting","Sorting is the process of arranging data in ascending descending or specific order."
"what is merge sort","Merge sort is an efficient divide-and-conquer sorting algorithm."
"what is quick sort","Quick sort is a fast sorting algorithm based on partitioning elements around a pivot."
"what is bubble sort","Bubble sort repeatedly compares and swaps adjacent elements until the list is sorted."
"what is insertion sort","Insertion sort builds the final sorted array one element at a time."
"what is selection sort","Selection sort repeatedly selects the minimum element and places it in the correct position."
"what is software engineering","Software engineering is the systematic process of designing developing testing and maintaining software applications."
"what is sdlc","SDLC stands for Software Development Life Cycle which defines stages of software development."
"what is testing","Software testing is the process of evaluating software to identify bugs and ensure quality."
"what is debugging","Debugging is the process of identifying analyzing and fixing software errors."
"what is frontend development","Frontend development focuses on building the user interface and visual components of applications."
"what is backend development","Backend development manages server-side logic databases and APIs."
"what is full stack development","Full stack development includes both frontend and backend development."
"what is react","React is a JavaScript library used for building modern user interfaces and single-page applications."
"what is nodejs","Node.js is a JavaScript runtime environment that allows JavaScript to run on servers."
"what is django","Django is a high-level Python framework used for developing secure and scalable web applications."
"what is flask","Flask is a lightweight Python web framework for building web applications and APIs."
"what is streamlit","Streamlit is a Python framework used for building interactive web applications for AI and data science projects."
"what is github","GitHub is a cloud-based platform used for hosting version control repositories and collaborative software development."
"what is git","Git is a distributed version control system used to track changes in source code."
"what is repository","A repository is a storage location used to manage project files and version history."
"what is version control","Version control is a system that tracks changes to files and source code over time."
"what is api","API stands for Application Programming Interface which enables communication between software applications."
"what is json","JSON stands for JavaScript Object Notation and is used for data storage and exchange."
"what is csv","CSV stands for Comma Separated Values and is used to store tabular data in text format."
"what is xml","XML is a markup language used for storing and transporting structured data."
"what is ai","AI stands for Artificial Intelligence which enables machines to simulate human intelligence."
"what is artificial intelligence","Artificial Intelligence is the field of computer science focused on creating intelligent systems capable of learning and decision-making."
"what is machine learning","Machine Learning is a subset of AI that allows systems to learn patterns from data and make predictions."
"what is deep learning","Deep Learning is a subset of Machine Learning that uses neural networks with multiple layers."
"what is neural network","A neural network is a computational model inspired by the structure of the human brain."
"what is data science","Data Science combines statistics programming and machine learning to analyze and extract insights from data."
"what is nlp","NLP stands for Natural Language Processing which enables computers to understand and process human language."
"what is computer vision","Computer Vision is a field of AI that enables machines to interpret images and videos."
"what is generative ai","Generative AI is a type of AI capable of generating text images code and other content automatically."
"what is chatbot","A chatbot is an AI-based software application designed to simulate conversations with users."
"what is tfidf","TF-IDF is a text vectorization technique used in Natural Language Processing to measure word importance."
"what is cosine similarity","Cosine Similarity measures how similar two vectors are based on the cosine of the angle between them."
